event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show
9461076,2016-04-29T21:00:00-0400,polica,Terminal West,60.3,89.0,6,35.0,Atlanta,GA,Ticketfly,$16.00,0,4665213,47
9461149,2016-04-06T20:00:00-0400,Robin Trower,Variety Playhouse,83.44,78.53,7,35.0,Atlanta,GA,Ticketmaster,$40.00,0,243623,24
9461589,2016-05-18T19:30:00-0400,Rihanna,Philips Arena,61.5,4930.0,374,1278.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,66
9462347,2016-04-17T19:30:00-0400,Steve Hackett,Symphony Hall Atlanta,117.35,190.0,9,21.0,Atlanta,GA,Ticketmaster,$29.50,0,486354,35
9462611,2016-03-18T20:00:00-0400,The Infamous Stringdusters,Variety Playhouse,54.36,52.44,8,37.0,Atlanta,GA,Ticketmaster,$20.00,0,541144,5
9462617,2016-07-17T19:00:00-0400,Josh Groban,Chastain Park Amphitheatre,80.2,648.0,88,500.0,Atlanta,GA,Live Nation,NoPriceClass,0,474091,126
9462786,2016-06-08T19:00:00-0400,Journey and The Doobie Brothers,Lakewood Amphitheatre,37.89,710.5,158,819.0,Atlanta,GA,Live Nation,NoPriceClass,0,94887,87
9462896,2016-04-02T18:00:00-0400,DAD FEST,Masquerade Atlanta,233.78,196.0,2,7.0,Atlanta,GA,NoRegexp,NoRegexp,NoRegexp,NoRegexp,20
9462897,2016-03-19T18:00:00-0400,The Decibel Magazine Tour with Abbath,Masquerade Atlanta,73.06,60.42,2,12.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,6
9465188,2016-04-02T20:00:00-0400,Andrew Bird,The Tabernacle Atlanta,66.22,229.0,20,85.0,Atlanta,GA,Live Nation,NoPriceClass,0,395944,20
9465237,2016-04-01T20:30:00-0400,G. Love and Special Sauce,Variety Playhouse,58.81,79.0,11,56.0,Atlanta,GA,Ticketmaster,$27.50,0,252784,19
9468614,2016-03-18T20:00:00-0400,Logic,The Tabernacle Atlanta,43.46,1111.0,61,216.0,Atlanta,GA,Live Nation,NoPriceClass,0,614453,5
9472817,2016-04-03T19:00:00-0400,Stick Figure,Terminal West,35.53,66.0,7,39.0,Atlanta,GA,Ticketfly,$14.00,0,514431,21
9473806,2016-05-07T20:00:00-0400,Animal Collective,Buckhead Theatre,62.68,1111.0,28,134.0,Atlanta,GA,Ticketmaster,$30.00,0,137427,55
9474113,2016-04-15T19:00:00-0400,Duran Duran,Philips Arena,83.92,1073.1,115,399.0,Atlanta,GA,Ticketmaster,$29.95,0,427500,33
9475558,2016-04-05T19:30:00-0400,Melanie Martinez,Buckhead Theatre,67.39,144.0,54,112.0,Atlanta,GA,Ticketmaster,$26.50,0,6647159,23
9476549,2016-04-22T13:00:00-0400,Sweetwater Festival 3 Day Pass,Centennial Olympic Park,123.25,423.0,12,37.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,40
9476785,2016-05-13T11:30:00-0400,Shaky Knees Music Festival 3 Day Pass,Centennial Olympic Park,213.4,850.0,18,60.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,61
9477596,2016-05-20T13:00:00-0400,Shaky Beats Music Festival 3 Day Pass,Centennial Olympic Park,223.53,250.0,9,31.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,68
9477608,2016-03-16T20:00:00-0400,Rickie Lee Jones,Variety Playhouse,85.1,76.76,2,8.0,Atlanta,GA,Ticketmaster,$33.00,0,374600,3
9477725,2016-03-15T20:00:00-0400,Gordon Lightfoot,Symphony Hall Atlanta,70.94,169.0,6,17.0,Atlanta,GA,Ticketmaster,$29.50,0,496846,2
9478065,2016-05-07T19:30:00-0400,Blue October,Masquerade Atlanta,52.59,90.0,17,88.0,Atlanta,GA,ShowClix,$50.00,0,500273,55
9478461,2016-10-28T19:30:00-0400,Adele,Philips Arena,378.92,5000.0,272,694.0,Atlanta,GA,Ticketmaster,$39.50,0,537914,229
9478462,2016-10-29T19:30:00-0400,Adele,Philips Arena,462.7,3500.0,198,498.0,Atlanta,GA,Ticketmaster,$39.50,0,537914,230
9478609,2016-04-13T20:00:00-0400,Elle King,Variety Playhouse,63.78,200.0,14,68.0,Atlanta,GA,Ticketmaster,$20.00,0,833467,31
9482669,2016-03-15T20:00:00-0400,Fetty Wap,The Tabernacle Atlanta,66.72,217.68,34,142.0,Atlanta,GA,Live Nation,NoPriceClass,0,8472253,2
9482719,2016-03-17T19:30:00-0400,Kirk Franklin,The Tabernacle Atlanta,50.87,251.0,16,60.0,Atlanta,GA,Live Nation,NoPriceClass,0,115247,4
