['9425635', '/concerts/25372334-demi-lovato-at-bridgestone-arena']
['9426894', '/concerts/25273889-coheed-and-cambria-at-marathon-music-works']
['9426943', '/concerts/25262299-twenty-one-pilots-at-ascend-amphitheater']
['9428845', '/concerts/25245134-moody-blues-at-ryman-auditorium']
['9431393', '/concerts/25186909-robin-trower-at-marathon-music-works']
['9434841', '/concerts/25317429-bonnie-raitt-at-ryman-auditorium']
['9434843', '/concerts/25317429-bonnie-raitt-at-ryman-auditorium']
['9436137', 'NoResults']
['9441828', '/concerts/25486489-mumford-and-sons-at-bridgestone-arena']
['9442690', '/concerts/25380494-yo-la-tengo-at-exitin']
['9444578', '/concerts/25317429-bonnie-raitt-at-ryman-auditorium']
['9445566', '/concerts/25400709-justin-bieber-at-bridgestone-arena']
['9452465', '/concerts/25436329-dixie-chicks-at-bridgestone-arena']
['9452560', '/concerts/25331939-infamous-stringdusters-at-exitin']
['9454867', '/concerts/25436084-ben-harper-and-the-innocent-criminals-at-ryman-auditorium']
['9455591', '/concerts/25415884-king-gizzard-and-the-lizard-wizard-at-mercy-lounge']
['9456753', '/concerts/26288099-barry-manilow-at-bridgestone-arena']
['9458631', '/concerts/25436029-jethro-tull-at-ryman-auditorium']
['9461631', '/concerts/25492244-rihanna-at-bridgestone-arena']
['9462802', 'NoResults']
['9462860', '/concerts/25385144-thao-and-the-get-down-stay-down-at-mercy-lounge']
['9465565', '/concerts/25476094-g-love-and-special-sauce-at-']
['9466201', '/concerts/25541374-andrew-bird-at-ryman-auditorium']
['9467031', '/concerts/25547004-avett-brothers-at-bridgestone-arena']
['9468922', '/concerts/25521194-gordon-lightfoot-at-ryman-auditorium']
['9470909', 'NoResults']
['9472728', '/concerts/25378879-isley-brothers-at-schermerhorn-symphony-center']
['9473792', 'NoResults']
['9474289', '/concerts/25613234-duran-duran-at-ascend-amphitheater']
['9475593', '/concerts/25605694-ben-folds-at-ryman-auditorium']
['9475683', '/concerts/25600364-styx-at-ascend-amphitheater']
['9476642', '/concerts/25646889-carly-rae-jepsen-at-cannery-ballroom']
['9478058', '/concerts/25600549-boyz-ii-men-at-ascend-amphitheater']
['9478211', '/concerts/25646919-chris-isaak-at-grand-ole-opry-house']
['9478457', '/concerts/25654814-adele-at-bridgestone-arena']
['9478458', '/concerts/25654814-adele-at-bridgestone-arena']
['9478608', '/concerts/25609779-elle-king-at-cannery-ballroom']
['9478623', 'NoResults']
['9483205', '/concerts/25662029-kirk-franklin-at-ryman-auditorium']
['9483950', 'NoResults']
['9484210', '/concerts/25674654-three-dog-night-at-schermerhorn-symphony-center']
['9484265', '/concerts/25687424-pusha-t-at-marathon-music-works']
['9484314', '/concerts/26390534-merle-haggard-at-ryman-auditorium']
['9484317', '/concerts/26390534-merle-haggard-at-ryman-auditorium']
['9485090', '/concerts/25331929-mac-sabbath-at-exitin']
['9485555', '/concerts/25695739-galactic-at-mercy-lounge']
['9486164', 'NoResults']
['9486242', 'NoResults']
['9486244', 'NoResults']
['9486246', 'NoResults']
['9486247', 'NoResults']
['9486249', 'NoResults']
['9486250', 'NoResults']
['9486252', 'NoResults']
['9486253', 'NoResults']
['9486254', 'NoResults']
['9486489', '/concerts/25419989-polica-at-mercy-lounge']
['9487323', '/concerts/25674414-otown-at-']
['9491589', '/concerts/25792824-dr-dog-at-ryman-auditorium']
['9499458', '/concerts/25674384-coolio-at-']
['9500317', '/concerts/25609784-little-green-cars-at-high-watt']
